node_id,alertname,dc_id,dc_name,ip_address,node_operator_id,node_provider_id,node_provider_name,node_type,owner,region,status,subnet_id
2d7n2-eizp5-ahi6r-puqn4-4ay4r-iuw3f-upywy-23g43-lwmky-uthpg-rae,,mm1,Miami,2001:1900:2100:2827:6801:9fff:fee0:a8bb,nj365-76cya-vjwgn-vyuxb-y74nh-bhlti-l6mzp-5efbh-u7nld-5jeba-kae,wwdbq-xuqhf-eydzu-oyl7p-ga565-zm7s7-yrive-ozgsy-zzgh3-qwb3j-cae,"Giant Leaf, LLC",REPLICA,Digital Realty,"North America,US,Florida",UNASSIGNED,
2dzst-xscbm-fudmf-67coh-wopas-z46qm-2awcg-d2xjh-xxlnz-ru3pg-rqe,,pl2,Panvel 2,2406:1840:100:15:6801:d9ff:fef1:e952,7rw6b-6r7qv-al3uk-rimg7-ifkjv-hettz-lhmly-t55g7-xrwac-25ayy-wae,zy4m7-z5mhs-zfkpl-zlsjl-blrbx-mvvmq-5z4zu-mf7eq-hhv7o-ezfro-3ae,Krishna Enterprises,REPLICA,Yotta,"Asia,IN,Panvel",UNASSIGNED,
2eqbk-www2z-qcopx-wujey-4frhx-cpstt-4ecyv-7wh64-qozmi-wwkpe-yqe,,bc1,Vancouver,2001:438:8000:1d:6801:1aff:fe26:ae58,feb2q-mgxwe-okz7r-juws2-mahg4-wflqu-oeflf-kvh4r-qaqit-hbqpg-uqe,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,British Columbia",UP,brlsh-zidhj-3yy3e-6vqbz-7xnih-xeq2l-as5oc-g32c4-i5pdn-2wwof-oae
2ew2x-bmzxs-o6sw6-xbxv6-efhzc-47y5k-vy5ce-luaqo-lecdi-33z4i-gqe,,br1,Brussels,2001:920:401a:1710:6801:beff:fece:53f3,mjeqs-wxqp7-tecvn-77uxe-eowch-4l4gy-6lc6f-ys6je-qnybm-5fxya-qqe,rbn2y-6vfsb-gv35j-4cyvy-pzbdu-e5aum-jzjg6-5b4n5-vuguf-ycubq-zae,Allusion,REPLICA,Digital Realty,"Europe,BE,Brussels Capital",UNASSIGNED,
2ftux-ivgjc-t4i2d-lq5hs-myjdg-3h2pz-l2ddl-nsxfc-wlaq7-fkbc5-6ae,,sl1,Seoul 1,2001:ed0:a:101:6801:72ff:fe6b:adc7,ukji3-ju5bx-ty5r7-qwk4p-eobil-isp26-fsomg-44kwf-j4ew7-ozkqy-wqe,4dibr-2alzr-h6kva-bvwn2-yqgsl-o577t-od46o-v275p-a2zov-tcw4f-eae,Neptune Partners,REPLICA,Megazone Cloud,"Asia,KR,Seoul",UP,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe
2grd6-wl4h5-ckvc2-agagg-kn5it-axvmv-4nogx-frgyx-5ulsj-kuoyo-lae,,to2,Toronto 2,2001:438:8000:10:6801:d4ff:fe15:ca5e,4lp6i-khv7q-lkgk3-hhrc6-ysjag-korh7-ysojw-7gv3h-glhdz-rpjrt-sqe,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,Ontario",UNASSIGNED,
2h6dm-k5h3n-nmqek-m5gty-yy3xq-a3atf-54its-biy25-ijh3c-xvit4-mae,,to2,Toronto 2,2001:438:8000:10:6801:1cff:fe00:e4aa,4lp6i-khv7q-lkgk3-hhrc6-ysjag-korh7-ysojw-7gv3h-glhdz-rpjrt-sqe,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,Ontario",UP,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe
2hl5j-s6wlm-t7ba2-rxp52-2ii5d-vsbjk-tfwt7-twdbr-rqlyw-hzumc-iqe,,ty2,Tokyo 2,2602:ffe4:801:17:6801:a6ff:fe2c:e3b5,dpt4y-mkhk4-7gchc-yx2by-hzfe6-czv2t-xebyb-as4q3-gkspj-ivvsv-hae,sixix-2nyqd-t2k2v-vlsyz-dssko-ls4hl-hyij4-y7mdp-ja6cj-nsmpf-yae,Starbase,REPLICA,Equinix,"Asia,JP,Tokyo",UP,qdvhd-os4o2-zzrdw-xrcv4-gljou-eztdp-bj326-e6jgr-tkhuc-ql6v2-yqe
2katp-edgoa-qnmux-ynruc-wwgub-y5von-zavsw-nvzfs-dwj4i-t7jil-fqe,,pl2,Panvel 2,2406:1840:100:15:6801:e0ff:fe30:4d56,7rw6b-6r7qv-al3uk-rimg7-ifkjv-hettz-lhmly-t55g7-xrwac-25ayy-wae,zy4m7-z5mhs-zfkpl-zlsjl-blrbx-mvvmq-5z4zu-mf7eq-hhv7o-ezfro-3ae,Krishna Enterprises,REPLICA,Yotta,"Asia,IN,Panvel",UNASSIGNED,
2kuci-tagmj-s2qnd-63jiy-s4xjc-ryvbs-gadtz-ywc6o-mcr4l-im6q5-wqe,,jv1,Jacksonville,2600:2c01:21:0:6801:f9ff:fe90:2210,wmrev-cdq34-iqwdm-oeaak-f6kch-s4axw-ojbhe-yuolf-bazh4-rjdty-oae,spp3m-vawt7-3gyh6-pjz5d-6zidf-up3qb-yte62-otexv-vfpqg-n6awf-lqe,9Yards Capital,REPLICA,Tierpoint,"North America,US,Florida",UNASSIGNED,
2kvun-y7qfw-krhhm-aftvi-ll56o-yvkuj-noc5w-xozic-mnewn-i47x5-tqe,,zh6,Zurich 6,2a01:2a8:a13c:1:6801:21ff:feac:7896,ciprs-d7ktn-eiqrv-pqbcf-npk57-ty4m3-npkk2-yu4en-d4ccs-ek5xw-dae,6r5lw-l7db7-uwixn-iw5en-yy55y-ilbtq-e6gcv-g22r2-j3g6q-y37jk-jqe,Sygnum Bank,REPLICA,Green.ch,"Europe,CH,Zurich",UNASSIGNED,
2lhun-vmepu-zc7ic-6lrjj-o4yda-nlmwn-m4i2i-h4oby-hwv4y-mpv7c-fae,,lj1,Ljubljana,2a02:800:2:2003:6801:efff:fe23:1156,gl27f-y5srq-yy5ot-v4x5z-y2a2s-sgoor-l4gjg-qv4x4-v2olb-dz4dc-wae,wdjjk-blh44-lxm74-ojj43-rvgf4-j5rie-nm6xs-xvnuv-j3ptn-25t4v-6ae,Fractal Labs AG,REPLICA,Posita.si,"Europe,SI,Ljubljana",UP,eq6en-6jqla-fbu5s-daskr-h6hx2-376n5-iqabl-qgrng-gfqmv-n3yjr-mqe
2mmpk-6kvr3-3syvq-twao3-g3fxc-gz3n2-o3tgf-34irb-idruv-cogfq-sqe,,ma3,Madrid 3,2a00:e9c0:0:2:6801:8bff:fe50:4056,wtsc7-nooey-5r454-alljc-g2thc-i52hy-acwfo-y2oub-vthqx-3wpy2-fqe,4r6qy-tljxg-slziw-zoteo-pboxh-vlctz-hkv2d-7zior-u3pxm-mmuxb-cae,Maksym Ishchenko,REPLICA,IPCore,"Europe,ES,Madrid",UNASSIGNED,
2n6eu-vv67p-bvuwq-eqfwb-r6jdi-wp3fo-jcodd-a7jtx-frju7-3sh3j-zqe,,at2,Atlanta 2,2604:3fc0:2001:0:6801:dff:feb7:964c,5syyj-syqbw-ubz3m-f4lkg-u7v2j-madhv-3s4vx-yl67f-bets5-xmrbf-zae,sma3p-ivkif-hz7nu-ngmvq-ibnjg-nubke-zf6gh-wbnfc-2dlng-l3die-zqe,"BLP22, LLC",REPLICA,Datasite,"North America,US,Georgia",UNASSIGNED,
2nasj-kdvvn-357il-5gkpl-qz2cx-dhad2-g2vj2-pfymt-lnmjq-yi6zo-oae,,sj1,San Jose,2600:c02:b002:15:6801:51ff:fe36:2617,agukz-qtcdt-slwoi-ovhe7-vor4b-x7kmc-ia2m2-4kswr-de6yv-qiqky-sqe,sdal5-w2c3d-p3buy-zieck-2wyuj-eu5bn-rkfe6-uuspi-o4n2b-gpei7-iae,Moon Block Ventures,REPLICA,INAP,"North America,US,California",UP,lspz2-jx4pu-k3e7p-znm7j-q4yum-ork6e-6w4q6-pijwq-znehu-4jabe-kqe
2nnkv-2c4j4-m6kml-3ftsa-4rah3-2bu74-lkcxf-cm776-2bclz-ge6s2-sqe,,hk1,HongKong 1,2403:f500:6808:0:6801:5dff:fea2:3db3,vzsx4-ldpic-3zcoa-mfki2-gfsai-ok7ap-gb2sp-fxvaf-ckd7h-jluem-qqe,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,REPLICA,Unicom,"Asia,HK,HongKong",UNASSIGNED,
2o33b-cheo6-ozp6n-sjrqc-cbro3-bslrm-kuhqz-wpncp-vlhji-jzeoj-6ae,,sj1,San Jose,2600:c02:b002:15:6801:fcff:fe9e:89,i3qb7-ibpad-onj4l-agg26-y2fmz-srqtz-aiu2m-ekdwg-kwjbe-vfa32-iqe,vdzyg-amckj-thvl5-bsn52-2elzd-drgii-ryh4c-izba3-xaehb-sohtd-aae,Mary Ren,REPLICA,INAP,"North America,US,California",UP,k44fs-gm4pv-afozh-rs7zw-cg32n-u7xov-xqyx3-2pw5q-eucnu-cosd4-uqe
2ojd2-6gt7o-v5dyl-fd2re-pd5yu-b4gih-gebku-sekge-rpnwr-eifss-kae,,or1,Orlando,2604:3fc0:3002:0:6801:54ff:fece:9307,redpf-rrb5x-sa2it-zhbh7-q2fsp-bqlwz-4mf4y-tgxmj-g5y7p-ezjtj-5qe,wwdbq-xuqhf-eydzu-oyl7p-ga565-zm7s7-yrive-ozgsy-zzgh3-qwb3j-cae,"Giant Leaf, LLC",REPLICA,Datasite,"North America,US,Florida",UP,shefu-t3kr5-t5q3w-mqmdq-jabyv-vyvtf-cyyey-3kmo4-toyln-emubw-4qe
2qclu-jxgmm-cjrng-h2wwe-i6ku5-dmj6p-e5qzy-ktplm-yu6kw-zkao2-xae,,ph1,Phoenix,2610:190:6000:1:6801:44ff:fe5b:d79d,5bnm2-ul7nx-s2xfc-3mzzu-2yfyz-lu2xp-65epq-43o3y-qs7y3-jv2uc-yae,izmhk-lpjum-uo4oy-lviba-yctpc-arg4b-2ywim-vgoiu-gqaj2-gskmw-2qe,MI Servers,REPLICA,CyrusOne,"North America,US,Arizona",UNASSIGNED,
2qfdv-bjorr-dghqy-4x2zq-43lso-2ivzq-wrf5j-76l5q-rjcxw-vngvo-tqe,,mr1,Marseille,2a0b:21c0:b002:2:6801:25ff:feee:6528,ampm3-ni5hl-bgvnb-ps7tj-xoa44-qlhww-o3hae-bohrq-oucs4-yhycx-cae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Operations SA,REPLICA,Digital Realty,"Europe,FR,Provence-Alpes-Cote d'Azur",UNASSIGNED,
2sjsi-fu2xz-jbtds-6rhym-cdfxi-dseok-64txt-exaul-e4usk-ouhx7-xqe,,to2,Toronto 2,2001:438:8000:10:6801:bfff:fefe:f076,4lp6i-khv7q-lkgk3-hhrc6-ysjag-korh7-ysojw-7gv3h-glhdz-rpjrt-sqe,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,Ontario",UNASSIGNED,
2tk2h-7snvn-clgy3-g33vp-fc57w-ptljs-xujfq-fu47q-ludhi-g7zzf-xqe,,ch3,Chicago 3,2607:ff70:3:2:6801:69ff:fee1:99a,t37p3-2557c-vnn75-vn4xk-3x7kp-6nh4c-e4pv2-bhlnv-ee4f5-7chq4-rae,izmhk-lpjum-uo4oy-lviba-yctpc-arg4b-2ywim-vgoiu-gqaj2-gskmw-2qe,MI Servers,REPLICA,CyrusOne,"North America,US,Illinois",DOWN,
2vmqi-lwsmy-rad75-wus6x-3rlbf-cgig6-rtheo-t42r2-i4vdg-jyguw-uqe,,ty2,Tokyo 2,2602:ffe4:801:17:6801:20ff:fec2:ea0,dpt4y-mkhk4-7gchc-yx2by-hzfe6-czv2t-xebyb-as4q3-gkspj-ivvsv-hae,sixix-2nyqd-t2k2v-vlsyz-dssko-ls4hl-hyij4-y7mdp-ja6cj-nsmpf-yae,Starbase,REPLICA,Equinix,"Asia,JP,Tokyo",UP,eq6en-6jqla-fbu5s-daskr-h6hx2-376n5-iqabl-qgrng-gfqmv-n3yjr-mqe
2w5be-ukk5g-kmecu-jxtan-w2gsb-htdfz-z5czd-6yacq-cemqu-qhjpm-iqe,,hk1,HongKong 1,2404:82c0:1:0:6801:deff:fece:68b7,z6cfb-dbya3-nh4pm-nyteq-76n7d-xzi27-tf3cg-t7sz7-244qt-6rnjy-3ae,g2ax6-jrkmb-3zuh3-jibtb-q5xoq-njrgo-5utbc-j2o7g-zfq2w-yyhky-dqe,Wancloud limited,REPLICA,Unicom,"Asia,HK,HongKong",UNASSIGNED,
2xph2-xvn4v-pc5xz-3upfj-etpio-qaf2k-d2s3v-jnceu-vcher-qhqav-rqe,,pc1,Panama City 1,2606:f180:9:1a:6801:ebff:fee1:8e66,qaes5-yo2iq-rhzta-vsh6g-ksq6o-yxtlb-lakue-snalc-ubxec-h3hy6-hae,eatbv-nlydd-n655c-g7j7p-gnmpz-pszdg-6e6et-veobv-ftz2y-4m752-vqe,Bianca-Martina Rohner,REPLICA,Navegalo,"North America,PA,Panama City",UP,io67a-2jmkw-zup3h-snbwi-g6a5n-rm5dn-b6png-lvdpl-nqnto-yih6l-gqe
2yjqo-sw2lo-4tqkt-6znj3-42w5f-iixil-q5b6b-shnbo-fnmvr-gvgwd-dqe,,jb1,Gauteng 1,2c0f:f708:b:101:6801:78ff:fe0f:9947,2rzvs-dyynq-3chdr-svjev-vdotj-blgs2-yrxfu-jbpm4-wzzht-zirb4-mqe,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,REPLICA,Teraco,"Africa,ZA,Gauteng",UP,w4asl-4nmyj-qnr7c-6cqq4-tkwmt-o26di-iupkq-vx4kt-asbrx-jzuxh-4ae
2yzcy-lywoi-fpfpg-ghagw-3emh7-2lj3p-ritfh-6e542-poww3-rafkw-wae,,sg1,Singapore,2401:3f00:1000:24:6801:d9ff:fe66:53b4,d4bin-5o2wg-ycbdq-yljr7-45pjv-ptf6d-v243j-vg6x5-dlo7t-yqu62-5qe,6nbcy-kprg6-ax3db-kh3cz-7jllk-oceyh-jznhs-riguq-fvk6z-6tsds-rqe,OneSixtyTwo Digital Capital,REPLICA,Telin,"Asia,SG,Singapore",UNASSIGNED,
2zulq-xy5xs-lcuqd-hap3b-scpd2-oqa3p-oxdmj-jrwlk-vsrhj-uvcvl-kqe,,pl1,Portland,2600:3004:1200:1200:6801:56ff:fee4:a8ef,lz4fy-gca6y-aodk3-ncdrw-ouoqb-kgvjj-h4nul-eybyu-puwev-hkogp-fqe,eipr5-izbom-neyqh-s3ec2-52eww-cyfpg-qfomg-3dpwj-4pffh-34xcu-7qe,"87m Neuron, LLC",REPLICA,Flexential,"North America,US,Oregon",UNASSIGNED,
32yxi-hqan7-bhpqw-ypgjn-zq64m-6uqxs-htba2-sldaq-dkm7c-af3o5-vae,,hk4,HongKong 4,2001:df7:fc80:5:6801:6fff:fe88:b2b8,dg7of-7gsgk-b7ptj-mcrrc-bxcae-6yg2o-oa57j-64cyo-vbc4d-t3ax5-oqe,64xe5-tx2s3-4gjmj-pnozr-fejw2-77y5y-rhcjk-glnmx-62brf-qin5q-pqe,Web3game,REPLICA,hkntt,"Asia,HK,HongKong",UNASSIGNED,
33aap-jupxw-h3tb3-nohh2-dphn4-z6mfh-22pqt-if4yr-dmkd4-ekp7q-wae,,to1,Toronto,2001:4c8:107f:8100:6801:40ff:fe16:d87a,6oxlv-umuxh-6cvbh-ldske-gafq4-5bcq4-4dfow-x7ytv-szjd2-jr3vr-oae,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,Ontario",UP,2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe
34j6h-6tcf5-3d4cv-oiqq4-hr5if-llmpd-p6arh-ab2jz-xege6-to7ix-pae,,ch2,Chicago 2,2604:7e00:50:0:6801:99ff:fe5d:c13d,vkwql-433e7-au6b7-v5g7z-tduiu-no4od-6wb4c-z5zru-vzssq-zwspo-dqe,spp3m-vawt7-3gyh6-pjz5d-6zidf-up3qb-yte62-otexv-vfpqg-n6awf-lqe,9Yards Capital,REPLICA,Tierpoint,"North America,US,Illinois",UNASSIGNED,
34p3x-4cyvb-4iw6w-ehded-ee2kt-pb4uj-so6au-4t5ml-ju57d-qv5te-4ae,,ty1,Tokyo,2602:ffe4:801:16:6801:7ff:fef4:7292,cqjev-4qb7l-xv373-jfmhi-73n3a-cxhst-p6okb-vywwc-a4zbi-6sf3u-bae,sixix-2nyqd-t2k2v-vlsyz-dssko-ls4hl-hyij4-y7mdp-ja6cj-nsmpf-yae,Starbase,REPLICA,Equinix,"Asia,JP,Tokyo",UNASSIGNED,
35ddr-mltrg-nxmdq-34ttq-ic4ra-ygatb-vwo2p-7bz2e-lgkex-5djch-3qe,,ta2,Tallinn 2,2a07:9280:0:6:6801:a5ff:fec7:dc33,kcyob-6amxm-wgpbs-gbyxc-pxp7l-tdacq-gjhv4-wg37h-2p6lx-h7hmi-4ae,ivf2y-crxj4-y6ewo-un35q-a7pum-wqmbw-pkepy-d6uew-bfmff-g5yxe-eae,Ivanov Oleksandr,REPLICA,Telia DC,"Europe,EE,Tallinn",UP,bkfrj-6k62g-dycql-7h53p-atvkj-zg4to-gaogh-netha-ptybj-ntsgw-rqe
35tkk-2zqw2-r5bjh-brbpj-5kns4-rmqf6-bwnq2-ylykq-czesn-zkewj-6qe,,at1,Atlanta,2607:f758:1220:0:6801:73ff:fecb:cde6,n3hwp-iwklj-lymsk-j54tf-75xxe-zjovd-rfsfw-ofdok-3de4m-zjoio-oqe,wwxec-c2gd2-bu5on-ktpwz-z2ph3-vlr4p-m7ztf-6ck7r-nt3r4-fxbdq-mae,Ronnie Pellizzari,REPLICA,Flexential,"North America,US,Georgia",UNASSIGNED,
3655m-si4pt-xysac-y2fwl-htr7g-yhynz-zaey6-xzglx-yqnso-vutgb-lqe,,at2,Atlanta 2,2604:3fc0:2001:0:6801:8cff:feea:c5bd,5syyj-syqbw-ubz3m-f4lkg-u7v2j-madhv-3s4vx-yl67f-bets5-xmrbf-zae,sma3p-ivkif-hz7nu-ngmvq-ibnjg-nubke-zf6gh-wbnfc-2dlng-l3die-zqe,"BLP22, LLC",REPLICA,Datasite,"North America,US,Georgia",UNASSIGNED,
3b2lt-4in5i-knoux-f6nkg-tgfpa-ifejj-xkw5s-qtqam-3sqxi-bhpqc-6ae,,ge2,Geneva 2,2a00:fa0:3:0:6801:afff:fe17:6871,5atxd-q4jom-dtpxr-awd3p-e562x-hpavj-godtj-g6vmz-of2c6-ildhh-fae,7ryes-jnj73-bsyu4-lo6h7-lbxk5-x4ien-lylws-5qwzl-hxd5f-xjh3w-mqe,Archery Blockchain SCSp,REPLICA,SafeHost,"Europe,CH,Geneva",UNASSIGNED,
3beeq-bvtv4-mxeff-2ypcm-jnw74-envji-bflpz-sipbb-e6gnt-kfptx-5qe,,rg3,Riga 3,2a00:c68:0:5009:6801:48ff:fe9d:7456,6igux-fgzev-vpuhp-63zdq-cisld-bu7ew-romgv-pf3kf-u64gh-3fk6v-zqe,dhywe-eouw6-hstpj-ahsnw-xnjxq-cmqks-47mrg-nnncb-3sr5d-rac6m-nae,Bohatyrov Volodymyr,REPLICA,Nano,"Europe,LV,Riga",UP,jtdsg-3h6gi-hs7o5-z2soi-43w3z-soyl3-ajnp3-ekni5-sw553-5kw67-nqe
3dnev-emean-nwuoo-djz3d-nw6u3-zoyh4-scoon-u5xlc-mlxsm-m3ys6-hae,,fm1,Fremont,2001:470:1:c76:6801:41ff:fed2:13e7,4q2h5-yua6n-kocnh-godkj-tzhzz-vxvti-ugvfs-axtnd-wjbhk-imntm-bae,n32q7-33lmk-m33tr-o5ltb-po6cb-tqqrr-2x6wp-pzhw7-ymizu-o3fyp-sqe,Adam Dymecki,REPLICA,Hurricane Electric,"North America,US,California",UNASSIGNED,
3fgii-zd73c-ftxy2-ypsbx-hnqf2-nzhc6-veurh-bru27-mz6bg-j62qd-xqe,,sg1,Singapore,2401:3f00:1000:24:6801:c8ff:fe40:8b23,d4bin-5o2wg-ycbdq-yljr7-45pjv-ptf6d-v243j-vg6x5-dlo7t-yqu62-5qe,6nbcy-kprg6-ax3db-kh3cz-7jllk-oceyh-jznhs-riguq-fvk6z-6tsds-rqe,OneSixtyTwo Digital Capital,REPLICA,Telin,"Asia,SG,Singapore",UP,cv73p-6v7zi-u67oy-7jc3h-qspsz-g5lrj-4fn7k-xrax3-thek2-sl46v-jae
3hibk-2fnod-r7pab-hb3im-blyqv-lyvdx-v273s-psxjn-yfsue-iakax-yae,,hk4,HongKong 4,2401:9140:0:5:6801:71ff:fe74:4b85,aaxec-cijpz-vzdwe-546fi-vahtf-s2awa-ldn7q-mzl2j-gmvhz-56zlq-mqe,cgmhq-c4zja-yov4u-zeyao-64ua5-idlhb-ezcgr-cultv-3vqjs-dhwo7-rqe,Origin Game,REPLICA,hkntt,"Asia,HK,HongKong",UNASSIGNED,
3iiom-54bdc-ldhpk-4cvoq-ir6lw-ltmzi-mpbjc-vp4tc-7ymrw-dflgy-xae,,ch3,Chicago 3,2607:ff70:3:2:6801:bfff:fee2:a0d4,t37p3-2557c-vnn75-vn4xk-3x7kp-6nh4c-e4pv2-bhlnv-ee4f5-7chq4-rae,izmhk-lpjum-uo4oy-lviba-yctpc-arg4b-2ywim-vgoiu-gqaj2-gskmw-2qe,MI Servers,REPLICA,CyrusOne,"North America,US,Illinois",UNASSIGNED,
