node_id,node_provider,data_center,data_center_provider,country,is_sev
def-1,Decentralized Entities Foundation,es1,Adam,ES,false
def-2,Decentralized Entities Foundation,es1,Adam,ES,false
def-3,Decentralized Entities Foundation,es1,Adam,ES,false
def-4,Decentralized Entities Foundation,es1,Adam,ES,false
def-5,Decentralized Entities Foundation,es1,Adam,ES,false
def-6,Decentralized Entities Foundation,es1,Adam,ES,false
def-7,Decentralized Entities Foundation,es1,Adam,ES,false
def-8,Decentralized Entities Foundation,es1,Adam,ES,false
