node_id,alertname,dc_id,dc_name,guestos_version,ip_address,ipv4_connectivity_status,node_hardware_generation,node_operator_id,node_provider_id,node_provider_name,node_type,owner,region,status,subnet_id
2ftux-ivgjc-t4i2d-lq5hs-myjdg-3h2pz-l2ddl-nsxfc-wlaq7-fkbc5-6ae,,sl1,Seoul 1,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2001:ed0:a:101:6801:72ff:fe6b:adc7,False,GenUnknown,ukji3-ju5bx-ty5r7-qwk4p-eobil-isp26-fsomg-44kwf-j4ew7-ozkqy-wqe,4dibr-2alzr-h6kva-bvwn2-yqgsl-o577t-od46o-v275p-a2zov-tcw4f-eae,Neptune Partners,REPLICA,Megazone Cloud,"Asia,KR,Seoul",UP,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe
2grd6-wl4h5-ckvc2-agagg-kn5it-axvmv-4nogx-frgyx-5ulsj-kuoyo-lae,,to2,Toronto 2,c25143850963143c9ee6bec77fe8ccf8306a4949,2001:438:8000:10:6801:d4ff:fe15:ca5e,False,GenUnknown,4lp6i-khv7q-lkgk3-hhrc6-ysjag-korh7-ysojw-7gv3h-glhdz-rpjrt-sqe,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,Ontario",UP,2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe
2h6dm-k5h3n-nmqek-m5gty-yy3xq-a3atf-54its-biy25-ijh3c-xvit4-mae,,to2,Toronto 2,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2001:438:8000:10:6801:1cff:fe00:e4aa,False,GenUnknown,4lp6i-khv7q-lkgk3-hhrc6-ysjag-korh7-ysojw-7gv3h-glhdz-rpjrt-sqe,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,Ontario",UP,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe
2h77x-ywmcq-vxt3r-t2ml4-43px2-wdn6u-kqus7-hmdzo-eu4qm-4afbe-pqe,,ty2,Tokyo 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2602:ffe4:801:17:6801:70ff:fee8:c44e,False,GenUnknown,5of43-k6u44-qnx76-nu2es-wm4vv-lidb2-4uveq-j6f62-iiagz-kaafq-gae,dnpkk-x67ir-zwcyz-fkgzz-547t7-papxf-zby5t-i2log-uodsf-pcizd-jae,ANTHONY ISAAKIDIS,UNASSIGNED,Equinix,"Asia,JP,Tokyo",UP,
2htd7-tusvn-5az76-uabki-trilh-egfi4-5t2tv-z4j7e-bcgbj-dkxru-sae,,lv1,Las Vegas,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2600:3006:1400:1500:6801:40ff:fe8b:4fb,False,GenUnknown,gsps3-qfdvq-s2sxt-d2v3e-yk4kk-w4bvn-tznft-y7x4x-im7if-umuub-wqe,eipr5-izbom-neyqh-s3ec2-52eww-cyfpg-qfomg-3dpwj-4pffh-34xcu-7qe,"87m Neuron, LLC",UNASSIGNED,Flexential,"North America,US,Nevada",UP,
2k7jv-zmube-yklqn-i3z46-mdvk6-xshpb-gb5jz-kkg7z-vlqh4-xmqyw-hae,,at2,Atlanta 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2604:3fc0:2001:0:6801:ccff:fe34:1f06,False,GenUnknown,spsu4-5hl4t-bfubp-qvoko-jprw4-wt7ou-nlnbk-gb5ib-aqnoo-g4gl6-kae,wwdbq-xuqhf-eydzu-oyl7p-ga565-zm7s7-yrive-ozgsy-zzgh3-qwb3j-cae,"Giant Leaf, LLC",UNASSIGNED,Datasite,"North America,US,Georgia",UP,
2katp-edgoa-qnmux-ynruc-wwgub-y5von-zavsw-nvzfs-dwj4i-t7jil-fqe,,pl2,Panvel 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2406:1840:100:15:6801:e0ff:fe30:4d56,False,GenUnknown,7rw6b-6r7qv-al3uk-rimg7-ifkjv-hettz-lhmly-t55g7-xrwac-25ayy-wae,zy4m7-z5mhs-zfkpl-zlsjl-blrbx-mvvmq-5z4zu-mf7eq-hhv7o-ezfro-3ae,Krishna Enterprises,UNASSIGNED,Yotta,"Asia,IN,Panvel",UP,
2klnm-d2wrs-tnn3k-mphtu-fgdmq-e2bny-juyda-ww7hv-l6pzx-35tkm-kae,,ty2,Tokyo 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2602:ffe4:801:17:6801:e2ff:feee:62f9,False,GenUnknown,5of43-k6u44-qnx76-nu2es-wm4vv-lidb2-4uveq-j6f62-iiagz-kaafq-gae,dnpkk-x67ir-zwcyz-fkgzz-547t7-papxf-zby5t-i2log-uodsf-pcizd-jae,ANTHONY ISAAKIDIS,UNASSIGNED,Equinix,"Asia,JP,Tokyo",UP,
2kvun-y7qfw-krhhm-aftvi-ll56o-yvkuj-noc5w-xozic-mnewn-i47x5-tqe,,zh6,Zurich 6,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a01:2a8:a13c:1:6801:21ff:feac:7896,False,GenUnknown,ciprs-d7ktn-eiqrv-pqbcf-npk57-ty4m3-npkk2-yu4en-d4ccs-ek5xw-dae,6r5lw-l7db7-uwixn-iw5en-yy55y-ilbtq-e6gcv-g22r2-j3g6q-y37jk-jqe,Sygnum Bank,UNASSIGNED,Green.ch,"Europe,CH,Zurich",UP,
2lhun-vmepu-zc7ic-6lrjj-o4yda-nlmwn-m4i2i-h4oby-hwv4y-mpv7c-fae,,lj1,Ljubljana,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2a02:800:2:2003:6801:efff:fe23:1156,False,GenUnknown,gl27f-y5srq-yy5ot-v4x5z-y2a2s-sgoor-l4gjg-qv4x4-v2olb-dz4dc-wae,wdjjk-blh44-lxm74-ojj43-rvgf4-j5rie-nm6xs-xvnuv-j3ptn-25t4v-6ae,Fractal Labs AG,REPLICA,Posita.si,"Europe,SI,Ljubljana",UP,eq6en-6jqla-fbu5s-daskr-h6hx2-376n5-iqabl-qgrng-gfqmv-n3yjr-mqe
2mjgp-xtlo2-elgwk-onn5k-7uhh7-erq34-vr24g-imzfx-pr72w-mewn6-aqe,,at2,Atlanta 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2604:3fc0:2001:0:6801:71ff:fe9e:f832,False,GenUnknown,5syyj-syqbw-ubz3m-f4lkg-u7v2j-madhv-3s4vx-yl67f-bets5-xmrbf-zae,sma3p-ivkif-hz7nu-ngmvq-ibnjg-nubke-zf6gh-wbnfc-2dlng-l3die-zqe,"BLP22, LLC",UNASSIGNED,Datasite,"North America,US,Georgia",UP,
2mmpk-6kvr3-3syvq-twao3-g3fxc-gz3n2-o3tgf-34irb-idruv-cogfq-sqe,,ma3,Madrid 3,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2a00:e9c0:0:2:6801:8bff:fe50:4056,False,GenUnknown,wtsc7-nooey-5r454-alljc-g2thc-i52hy-acwfo-y2oub-vthqx-3wpy2-fqe,4r6qy-tljxg-slziw-zoteo-pboxh-vlctz-hkv2d-7zior-u3pxm-mmuxb-cae,Maksym Ishchenko,REPLICA,IPCore,"Europe,ES,Madrid",UP,cv73p-6v7zi-u67oy-7jc3h-qspsz-g5lrj-4fn7k-xrax3-thek2-sl46v-jae
2n6eu-vv67p-bvuwq-eqfwb-r6jdi-wp3fo-jcodd-a7jtx-frju7-3sh3j-zqe,,at2,Atlanta 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2604:3fc0:2001:0:6801:dff:feb7:964c,False,GenUnknown,5syyj-syqbw-ubz3m-f4lkg-u7v2j-madhv-3s4vx-yl67f-bets5-xmrbf-zae,sma3p-ivkif-hz7nu-ngmvq-ibnjg-nubke-zf6gh-wbnfc-2dlng-l3die-zqe,"BLP22, LLC",UNASSIGNED,Datasite,"North America,US,Georgia",UP,
2ndxm-inbpv-tmvib-5y2qk-lc2je-b3gbw-2u4nn-x57bs-tu3kx-m47t6-5qe,,to1,Toronto,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2001:4c8:107f:8100:6801:5aff:fede:acbf,False,GenUnknown,wrg4t-j7q47-ujpct-veypa-6s2w7-6jw5o-z4iec-wc7er-egjlo-t4kza-7qe,2wxzd-qrbrs-ailta-kdtyb-ucg35-xcxd4-txevb-ot7hx-wiyus-szcca-nqe,0X52,UNASSIGNED,Cyxtera,"North America,CA,Ontario",UP,
2nehn-z42p7-36s7j-qqcz6-sy5rb-euhte-necpl-egqsv-hdoph-gx7qd-6ae,,im1,Douglas 1,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a01:6a01:1:0:6801:a8ff:feb7:fe5b,True,GenUnknown,4isre-d3zxy-xpque-tagdf-xdzjp-hk7x3-szquu-kuwej-52cfy-f6jwc-zqe,rpfvr-s3kuw-xdqrr-pvuuj-hc7hl-olytw-yxlie-fmr74-sr572-6gdqx-iqe,Blue Ant LLC,REPLICA,Manx Telecom,"Europe,IM,Douglas",UP,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe
2p4i3-ukstx-utpts-btuau-lidyg-c76us-nfcvp-a32u2-k5jtx-cz7i4-bae,,ch3,Chicago 3,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2607:ff70:3:2:6801:5ff:fef0:b62a,False,GenUnknown,kguzs-hshnk-cn46m-vabri-t7mtm-th4lo-qsf5g-f2trp-xxatj-44aut-kqe,2dgp4-h57n4-a4kgx-n4uun-huo3a-wbdlc-m57wd-jtkuh-g5vcc-fcbby-6qe,"100 Count Holdings, LLC",UNASSIGNED,CyrusOne,"North America,US,Illinois",UP,
2qclu-jxgmm-cjrng-h2wwe-i6ku5-dmj6p-e5qzy-ktplm-yu6kw-zkao2-xae,,ph1,Phoenix,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2610:190:6000:1:6801:44ff:fe5b:d79d,False,GenUnknown,5bnm2-ul7nx-s2xfc-3mzzu-2yfyz-lu2xp-65epq-43o3y-qs7y3-jv2uc-yae,izmhk-lpjum-uo4oy-lviba-yctpc-arg4b-2ywim-vgoiu-gqaj2-gskmw-2qe,MI Servers,UNASSIGNED,CyrusOne,"North America,US,Arizona",UP,
2qlts-dmxtt-ly45j-m2qcg-tde6r-i337l-shimz-mtshu-tp3ir-hkbyt-dae,,jv1,Jacksonville,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2600:2c01:21:0:6801:39ff:fe67:e2fb,False,GenUnknown,mwn4q-m7agh-z77ry-lk3ee-6ndte-kkfmm-yxtb4-mfqyf-uq2e7-xqmyh-yqe,2hl5k-umjdt-ykii4-goecz-kkps6-nvl53-l7ost-p4mcp-qmnmw-rzrfc-mqe,ParaFi Technologies NS LLC,UNASSIGNED,Tierpoint,"North America,US,Florida",UP,
2r7p2-nll7a-gipvg-6wtpt-pgss2-lge3d-gylsc-bvo3n-7u4am-xeom5-nqe,,zh5,Zurich 5,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a01:2a8:a13d:1:6801:c4ff:fe33:9083,False,GenUnknown,sqxhb-kreor-og6yg-hmbpu-mr3k7-b72at-dxjqk-xisvr-qkb6k-qmbt3-dae,ma7dp-gz4tg-3c2wv-pgnsv-wna7u-czvhu-fpu47-t4dr6-gzxql-wr2m2-qae,Reist Telecom AG,UNASSIGNED,Green.ch,"Europe,CH,Zurich",UP,
2ric4-rm3mb-x4rc4-xv7f3-o3fq6-oryc6-oyn4x-cpiyz-woh7c-eyorf-qae,,ty3,Tokyo 3,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2602:ffe4:801:18:6801:f5ff:fe53:fb6d,False,GenUnknown,7ldwr-vrnjp-p23uh-6czzq-7qp4h-qhvw2-c2by5-3jpqm-4nuu3-vx5dz-fae,sixix-2nyqd-t2k2v-vlsyz-dssko-ls4hl-hyij4-y7mdp-ja6cj-nsmpf-yae,Starbase,REPLICA,Equinix,"Asia,JP,Tokyo",UP,xlkub-3thlm-uha3c-hqmfw-qykp5-6rldi-hpfxy-nwyxy-w6bbk-tpg5h-vqe
2sjsi-fu2xz-jbtds-6rhym-cdfxi-dseok-64txt-exaul-e4usk-ouhx7-xqe,,to2,Toronto 2,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2001:438:8000:10:6801:bfff:fefe:f076,False,GenUnknown,4lp6i-khv7q-lkgk3-hhrc6-ysjag-korh7-ysojw-7gv3h-glhdz-rpjrt-sqe,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,Ontario",UP,yinp6-35cfo-wgcd2-oc4ty-2kqpf-t4dul-rfk33-fsq3r-mfmua-m2ngh-jqe
2xph2-xvn4v-pc5xz-3upfj-etpio-qaf2k-d2s3v-jnceu-vcher-qhqav-rqe,,pc1,Panama City 1,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2606:f180:9:1a:6801:ebff:fee1:8e66,False,GenUnknown,qaes5-yo2iq-rhzta-vsh6g-ksq6o-yxtlb-lakue-snalc-ubxec-h3hy6-hae,eatbv-nlydd-n655c-g7j7p-gnmpz-pszdg-6e6et-veobv-ftz2y-4m752-vqe,Bianca-Martina Rohner,REPLICA,Navegalo,"North America,PA,Panama City",UP,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae
2xqqr-g3ltb-muk6e-5mmjr-bmxvo-3vuab-n7n2z-fecrs-burep-2bhu4-oqe,,im2,Douglas 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a03:9e00:40a:ffff:6801:e8ff:fe21:9607,True,GenUnknown,ylbc3-d72nf-cv76h-era7m-zefob-r5kyw-kvdtp-xq4ep-nthfy-ml5ua-iae,glrjs-2dbzh-owbdd-fpp5e-eweoz-nsuto-e3jmk-tl42c-wem4f-qfpfa-qqe,Zarety LLC,UNASSIGNED,Continent8,"Europe,IM,Douglas",UP,
2yjqo-sw2lo-4tqkt-6znj3-42w5f-iixil-q5b6b-shnbo-fnmvr-gvgwd-dqe,,jb1,Gauteng 1,cf1ef976fe18d402f61345af07c0f75c1f86dc25,2c0f:f708:b:101:6801:78ff:fe0f:9947,False,GenUnknown,2rzvs-dyynq-3chdr-svjev-vdotj-blgs2-yrxfu-jbpm4-wzzht-zirb4-mqe,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,REPLICA,Teraco,"Africa,ZA,Gauteng",UP,w4asl-4nmyj-qnr7c-6cqq4-tkwmt-o26di-iupkq-vx4kt-asbrx-jzuxh-4ae
2yzcy-lywoi-fpfpg-ghagw-3emh7-2lj3p-ritfh-6e542-poww3-rafkw-wae,,sg1,Singapore,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2401:3f00:1000:24:6801:d9ff:fe66:53b4,False,GenUnknown,d4bin-5o2wg-ycbdq-yljr7-45pjv-ptf6d-v243j-vg6x5-dlo7t-yqu62-5qe,6nbcy-kprg6-ax3db-kh3cz-7jllk-oceyh-jznhs-riguq-fvk6z-6tsds-rqe,OneSixtyTwo Digital Capital,REPLICA,Telin,"Asia,SG,Singapore",UP,6pbhf-qzpdk-kuqbr-pklfa-5ehhf-jfjps-zsj6q-57nrl-kzhpd-mu7hc-vae
32yxi-hqan7-bhpqw-ypgjn-zq64m-6uqxs-htba2-sldaq-dkm7c-af3o5-vae,,hk4,HongKong 4,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2001:df7:fc80:5:6801:6fff:fe88:b2b8,False,GenUnknown,dg7of-7gsgk-b7ptj-mcrrc-bxcae-6yg2o-oa57j-64cyo-vbc4d-t3ax5-oqe,64xe5-tx2s3-4gjmj-pnozr-fejw2-77y5y-rhcjk-glnmx-62brf-qin5q-pqe,Web3game,REPLICA,hkntt,"Asia,HK,HongKong",UP,6excn-doq5g-bmrxd-3774i-hjnn2-3ovbo-xjwz7-3yozt-fsbzx-bethy-bae
33s7q-wsjbb-6iyyw-bwfuz-lq2yr-lu7gt-qhc7s-oyxrq-vhfnm-wbaxb-dqe,,im1,Douglas 1,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a01:6a01:1:0:6801:99ff:fe1e:8f79,True,GenUnknown,4isre-d3zxy-xpque-tagdf-xdzjp-hk7x3-szquu-kuwej-52cfy-f6jwc-zqe,rpfvr-s3kuw-xdqrr-pvuuj-hc7hl-olytw-yxlie-fmr74-sr572-6gdqx-iqe,Blue Ant LLC,UNASSIGNED,Manx Telecom,"Europe,IM,Douglas",UP,
34vxs-3ebd4-x454e-jacqp-5rxv3-lfna4-xtoua-vzulm-lwh77-zu5fq-lqe,,kr2,Seoul 2,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2606:fb40:201:1001:6801:26ff:fef9:1b20,False,GenUnknown,5dwhe-vpbuf-zz5ml-ylu6k-7y2z2-36ywv-5e4wf-advxd-3endk-icvg4-cae,64xe5-tx2s3-4gjmj-pnozr-fejw2-77y5y-rhcjk-glnmx-62brf-qin5q-pqe,Web3game,REPLICA,Gasan,"Asia,KR,Seoul",UP,kp5jj-kpgmn-f4ohx-uqot6-wtbbr-lmtqv-kpkaf-gcksv-snkwm-43kmy-iae
35ddr-mltrg-nxmdq-34ttq-ic4ra-ygatb-vwo2p-7bz2e-lgkex-5djch-3qe,,ta2,Tallinn 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a07:9280:0:6:6801:a5ff:fec7:dc33,False,GenUnknown,kcyob-6amxm-wgpbs-gbyxc-pxp7l-tdacq-gjhv4-wg37h-2p6lx-h7hmi-4ae,ivf2y-crxj4-y6ewo-un35q-a7pum-wqmbw-pkepy-d6uew-bfmff-g5yxe-eae,Ivanov Oleksandr,UNASSIGNED,Telia DC,"Europe,EE,Tallinn",UP,
