node_id,alertname,dc_id,dc_name,guestos_version,ip_address,ipv4_connectivity_status,node_hardware_generation,node_operator_id,node_provider_id,node_provider_name,node_type,owner,region,status,subnet_id
22pkm-wfc33-m326g-x2gug-3admr-sxeaf-foujt-3c4jw-uksvc-dglgf-gae,,im1,Douglas 1,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a01:6a01:1:0:6801:f2ff:feae:35a4,False,GenUnknown,4isre-d3zxy-xpque-tagdf-xdzjp-hk7x3-szquu-kuwej-52cfy-f6jwc-zqe,rpfvr-s3kuw-xdqrr-pvuuj-hc7hl-olytw-yxlie-fmr74-sr572-6gdqx-iqe,Blue Ant LLC,UNASSIGNED,Manx Telecom,"Europe,IM,Douglas",UP,
23jbm-6z6mi-ki2ut-fkz5x-yy4uy-6llls-yyodh-xv537-2qonk-2iod3-jae,,mn2,Melbourne 2,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2403:f000:300:6:6801:e2ff:fe86:7bd0,False,GenUnknown,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae
23kbh-5xqrz-2avco-tddeh-p6724-shtvz-rg3nq-d7rhu-ztedb-vki46-dqe,,ty1,Tokyo,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2602:ffe4:801:16:6801:86ff:fe0d:a605,False,GenUnknown,cqjev-4qb7l-xv373-jfmhi-73n3a-cxhst-p6okb-vywwc-a4zbi-6sf3u-bae,sixix-2nyqd-t2k2v-vlsyz-dssko-ls4hl-hyij4-y7mdp-ja6cj-nsmpf-yae,Starbase,REPLICA,Equinix,"Asia,JP,Tokyo",UP,lhg73-sax6z-2zank-6oer2-575lz-zgbxx-ptudx-5korm-fy7we-kh4hl-pqe
24fcm-3onfs-cykax-al4jb-gvdd3-u76zl-ht6ef-hcsbc-xwf54-xbrym-xae,,bt1,Vilnius 1,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2001:1ab9:f002:5:6801:63ff:feb7:7ad7,False,GenUnknown,mbnsu-w4xfc-pmdok-r2lwo-wxfr4-gigu5-4idcm-5uuuy-znvby-biiny-jqe,4jjya-hlyyc-s766p-fd6gr-d6tvv-vo3ah-j5ptx-i73gw-mwgyd-rw6w2-rae,MB Patrankos šūvis,REPLICA,Baltneta,"Europe,LT,Vilnius",UP,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe
24fsy-32ewt-f447o-7p5th-njgys-2qawz-gk5iw-k4qzj-7opkx-ofbm3-5qe,,im2,Douglas 2,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a03:9e00:40a:ffff:6801:4dff:fef9:220d,True,GenUnknown,ylbc3-d72nf-cv76h-era7m-zefob-r5kyw-kvdtp-xq4ep-nthfy-ml5ua-iae,glrjs-2dbzh-owbdd-fpp5e-eweoz-nsuto-e3jmk-tl42c-wem4f-qfpfa-qqe,Zarety LLC,UNASSIGNED,Continent8,"Europe,IM,Douglas",UP,
24iqu-pqcde-wwgok-6sndd-lfhaj-gyjhu-zg73l-sqvwi-xbevy-kcuqp-4ae,,or1,Orlando,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2604:3fc0:3002:0:6801:37ff:fe19:6e17,False,GenUnknown,2rqo7-ot2kv-upof3-odw3y-sjckb-qeibt-n56vj-7b4pt-bvrtg-zay53-4qe,wwdbq-xuqhf-eydzu-oyl7p-ga565-zm7s7-yrive-ozgsy-zzgh3-qwb3j-cae,"Giant Leaf, LLC",UNASSIGNED,Datasite,"North America,US,Florida",UP,
25a7h-yfxtk-5wcoz-p56pu-bzpsa-xkr4h-7mlkz-slh2e-iwrtk-kqeav-cae,,nm1,Navi Mumbai 1,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2401:7500:1016:0:6801:bbff:fee7:7d39,False,GenUnknown,mpmyf-juliu-5qwcu-ofamg-es7ug-4mjt4-w5lht-dbrfb-ualjm-hcwmn-pae,ulyfm-vkxtj-o42dg-e4nam-l4tzf-37wci-ggntw-4ma7y-d267g-ywxi6-iae,Rivram Inc,REPLICA,Rivram,"Asia,IN,Navi Mumbai",UP,yinp6-35cfo-wgcd2-oc4ty-2kqpf-t4dul-rfk33-fsq3r-mfmua-m2ngh-jqe
25o6i-sdjsl-vjlfn-6duch-vskdu-26pf5-cwibg-zooqk-sdn2e-cgugm-tae,,zh3,Zurich 3,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2a02:418:3002:0:6801:8bff:fef0:ec6f,False,GenUnknown,anodw-youcx-pycyh-tkyat-znvdz-rtmop-t7tpo-pyrcn-nuzzw-qp35i-2ae,ucjqj-jmbj3-rs4aq-ekzpw-ltjs3-zrcma-t6r3t-m5wxc-j5yrj-unwoj-mae,Tomahawk.vc,UNASSIGNED,Nine.Ch,"Europe,CH,Zurich",UP,
2aked-uorat-s6ubw-kqnnf-lp3ep-ykinc-xcare-wws7l-pzhim-ixk7p-zae,,ty1,Tokyo,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2602:ffe4:801:16:6801:54ff:fe49:1801,False,GenUnknown,z2o65-c4ahi-sayhz-f5hnm-rbb56-4py6j-grmqx-ixfly-velus-4duua-7ae,sixix-2nyqd-t2k2v-vlsyz-dssko-ls4hl-hyij4-y7mdp-ja6cj-nsmpf-yae,Starbase,UNASSIGNED,Equinix,"Asia,JP,Tokyo",UP,
2bicw-jtnmv-rjuil-2p4px-npmif-w37em-qreuq-4lxof-7wkcl-a3gan-oqe,,pl1,Portland,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2600:3004:1200:1200:6801:ebff:fe72:60bb,False,GenUnknown,dvfhx-jb24w-j6t5m-i7hv7-7a6on-heiyd-cgjrk-kby5c-nhej4-lmbql-yae,dodsd-rsjlg-sgekb-gr6mi-l6fck-tscwk-4jzgl-fwk4q-ncoyu-ulx53-aqe,Uvaca Labs LLC,UNASSIGNED,Flexential,"North America,US,Oregon",UP,
2c4nq-s43ex-jhm42-4tczp-mugkx-n57at-a7skw-ruhmb-qfj3j-g7vfi-yqe,,an1,Antwerp,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2001:920:401a:1708:6801:19ff:fe50:f8c8,False,GenUnknown,k4aor-vlk45-2i4fz-pp3cs-nu5jg-35nva-ftbjl-7fxfd-fks6n-6taxd-4qe,g7dkt-aapqq-j3hqt-xtiys-pwapz-idulp-nwagd-zibqm-caxa4-gc23t-3qe,NODAO,REPLICA,Datacenter United,"Europe,BE,Flanders",UP,5kdm2-62fc6-fwnja-hutkz-ycsnm-4z33i-woh43-4cenu-ev7mi-gii6t-4ae
2dzst-xscbm-fudmf-67coh-wopas-z46qm-2awcg-d2xjh-xxlnz-ru3pg-rqe,,pl2,Panvel 2,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2406:1840:100:15:6801:d9ff:fef1:e952,False,GenUnknown,7rw6b-6r7qv-al3uk-rimg7-ifkjv-hettz-lhmly-t55g7-xrwac-25ayy-wae,zy4m7-z5mhs-zfkpl-zlsjl-blrbx-mvvmq-5z4zu-mf7eq-hhv7o-ezfro-3ae,Krishna Enterprises,REPLICA,Yotta,"Asia,IN,Panvel",UP,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae
2eqbk-www2z-qcopx-wujey-4frhx-cpstt-4ecyv-7wh64-qozmi-wwkpe-yqe,,bc1,Vancouver,a299620cd5e73ed21b415f2ebe3da0bb43a3649d,2001:438:8000:1d:6801:1aff:fe26:ae58,False,GenUnknown,feb2q-mgxwe-okz7r-juws2-mahg4-wflqu-oeflf-kvh4r-qaqit-hbqpg-uqe,7at4h-nhtvt-a4s55-jigss-wr2ha-ysxkn-e6w7x-7ggnm-qd3d5-ry66r-cae,Blockchain Development Labs,REPLICA,Cyxtera,"North America,CA,British Columbia",UP,brlsh-zidhj-3yy3e-6vqbz-7xnih-xeq2l-as5oc-g32c4-i5pdn-2wwof-oae
2ew2x-bmzxs-o6sw6-xbxv6-efhzc-47y5k-vy5ce-luaqo-lecdi-33z4i-gqe,,br1,Brussels,9152ba15ab6cc3c12eb407e13f8ee483a1d5723c,2001:920:401a:1710:6801:beff:fece:53f3,False,GenUnknown,mjeqs-wxqp7-tecvn-77uxe-eowch-4l4gy-6lc6f-ys6je-qnybm-5fxya-qqe,rbn2y-6vfsb-gv35j-4cyvy-pzbdu-e5aum-jzjg6-5b4n5-vuguf-ycubq-zae,Allusion,UNASSIGNED,Digital Realty,"Europe,BE,Brussels Capital",UP,
