,node_id,alertname,dc_id,dc_name,guestos_tee_active,guestos_version,ip_address,ipv4_connectivity_status,node_hardware_generation,node_operator_id,node_provider_id,node_provider_name,node_type,owner,region,status,subnet_id
1215,un26u-2rdxx-incuh-txlau-breig-k2ipi-wargx-73by5-prrcl-nnbdo-bqe,,mn2,Melbourne 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2403:f000:300:6:6801:fff:fe84:b0b4,False,Gen2,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,
1217,uouxk-c246i-dgxzd-ql3a5-koofn-mclrv-toplo-bg76d-l4dzk-ngb3c-nae,,tb1,Tbilisi 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a0a:5000:0:3:6801:95ff:fe19:5772,False,Gen2,yhfy4-ny5ww-huz33-bkxym-eu27d-htlt4-yi77a-hvdqb-wpdlv-2cky7-uae,vegae-c4chr-aetfj-7gzuh-c23sx-u2paz-vmvbn-bcage-pu7lu-mptnn-eqe,George Bassadone,REPLICA,Cloud9,"Asia,GE,Tbilisi",UP,
1231,v27at-hedf7-4a2my-tboq6-escdm-77krt-2qfuq-zjptf-z2sbk-vd7zs-xae,,ar1,CABA 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2803:8d00:b000:f738:6801:a2ff:fe6f:7dd9,False,Gen2,5p6xp-glfoz-fgh6d-4rx7e-hix7t-c4vcp-u2xhn-gv4mm-fkozw-6mntb-7qe,s5nvr-ipdxf-xg6wd-ofacm-7tl4i-nwjzx-uulum-cugwb-kbpsa-wrsgs-cae,Mariano Stoll,UNASSIGNED,SyT - Servicios y Telecomunicaciones S.A.,"South America,AR,CABA",UP,
1239,vcwuo-t2lqu-wwsni-eujqn-4kg67-ofhgk-g62he-njsif-avlmz-nenht-jae,,jb1,Gauteng 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:f708:b:101:6801:c2ff:fe7b:3503,False,Gen2,2rzvs-dyynq-3chdr-svjev-vdotj-blgs2-yrxfu-jbpm4-wzzht-zirb4-mqe,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,UNASSIGNED,Teraco,"Africa,ZA,Gauteng",UP,
1243,vgpqf-udio2-pndqt-qweze-okgmn-yzqh6-i7ym4-mospu-sxsn7-khoxs-wqe,,vl2,Vilnius 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a14:5400::6801:83ff:fe7e:f355,False,Gen2,inluf-zswst-3owy3-xklsg-jnn6r-izoj7-pf3il-fo33d-ghbka-lc34p-zqe,vegae-c4chr-aetfj-7gzuh-c23sx-u2paz-vmvbn-bcage-pu7lu-mptnn-eqe,George Bassadone,UNASSIGNED,Data Inn,"Europe,LT,Vilnius",UP,
1246,vhw7k-ajobo-4e3gl-dninw-4tovw-th6o5-z4fx6-7favv-m4qaw-xovu3-6qe,,mn2,Melbourne 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2403:f000:300:6:6801:daff:fef0:b575,False,Gen2,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,
1247,vivoi-pgaro-d7j64-broi5-wf4ig-3n2jq-sp366-rgh56-yx6do-gcx3w-mqe,,rg1,Riga 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a00:17c0:c9:2:6801:c3ff:fe69:128f,False,Gen2,jptla-fkfxd-7oesr-6vbp4-6tx22-c7ome-zo3ox-2ylzj-llei6-7xcw3-hqe,4jjya-hlyyc-s766p-fd6gr-d6tvv-vo3ah-j5ptx-i73gw-mwgyd-rw6w2-rae,MB Patrankos šūvis,REPLICA,DEAC,"Europe,LV,Riga",UP,
1252,vlujz-p62ip-7cqjv-pjdep-37gp6-e27ct-cv42w-hnten-xqlea-3sm4p-lqe,,jb1,Gauteng 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:f708:b:101:6801:7cff:fe09:6f46,False,Gen2,2rzvs-dyynq-3chdr-svjev-vdotj-blgs2-yrxfu-jbpm4-wzzht-zirb4-mqe,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,UNASSIGNED,Teraco,"Africa,ZA,Gauteng",UP,
1254,vn5yd-eiwsz-jdwpi-ox2xg-wlwob-bbq4i-s4l2f-sz7ek-nmjtk-vhoxb-hae,,kr1,Seoul 3,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a0c:b641:b21:2b:6801:63ff:fe2e:77ac,False,Gen2,iubpe-vrzpt-cdf5f-kkzhq-rgp63-dkbfo-fje7f-6aknf-jekzg-3s7tv-oae,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,REPLICA,KT,"Asia,KR,Seoul",UP,
1260,vt5q3-2bev5-yhmxc-uxp3l-j26fn-tnlfb-sdstt-yoqf4-bio44-yyycs-vae,,sl1,Seoul 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:ed0:a:101:6801:74ff:feee:80a1,False,Gen2,ukji3-ju5bx-ty5r7-qwk4p-eobil-isp26-fsomg-44kwf-j4ew7-ozkqy-wqe,4dibr-2alzr-h6kva-bvwn2-yqgsl-o577t-od46o-v275p-a2zov-tcw4f-eae,Neptune Partners,REPLICA,Megazone Cloud,"Asia,KR,Seoul",UP,
1262,vte5d-zw5lg-axpbi-yrc6s-nm3mj-knu44-piwp3-ukrtj-xb4s5-mleiq-lae,,gn1,Greater Noida 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2406:1840:2100:1:6801:adff:fe29:1335,False,Gen2,slaxf-2q2iy-ikmsy-u2jnq-ev2u2-z2ryl-5w4ri-uf2v3-hxfuc-yrdbx-uae,cp5ib-twnmx-h4dvd-isef2-tu44u-kb2ka-fise5-m4hta-hnxoq-k45mm-hqe,ACCUSET SOLUTIONS,REPLICA,Yotta,"Asia,IN,Greater Noida",UP,
1267,vwsvq-sp3z5-kjy66-srr2f-esws7-mzchn-oeqdb-n3qvz-wrzni-4pcsy-lae,,tv1,Tel Aviv 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a03:ff40:dcbe:1019:6801:b5ff:fe22:5321,False,Gen2,lis4o-siuek-6zrm6-g5pkh-lswnt-ttsd4-henvb-d6mit-lgfpr-lynph-xae,6sq7t-knkul-fko6h-xzvnf-ktbvr-jhx7r-hapzr-kjlek-whugy-zt6ip-xqe,GeoNodes LLC,REPLICA,Interhost,"Asia,IL,Tel Aviv",UP,
1269,vysyd-tlwq5-f5vfi-kw2jc-ziylz-di2s5-sf4p3-iflm7-vyvjv-hz3b3-pae,,kr2,Seoul 2,,44e6a4830a03f05101a33d7baeb1f92c5c8093bc,2606:fb40:201:1001:6801:2fff:fef5:b129,True,Gen2,5dwhe-vpbuf-zz5ml-ylu6k-7y2z2-36ywv-5e4wf-advxd-3endk-icvg4-cae,64xe5-tx2s3-4gjmj-pnozr-fejw2-77y5y-rhcjk-glnmx-62brf-qin5q-pqe,Web3game,REPLICA,Gasan,"Asia,KR,Seoul",UP,
1270,w2sev-mtuls-aa7m5-cdjgi-5vipg-2jn7i-4awvf-o6suu-73ebs-sw5db-kqe,,pl2,Panvel 2,,44e6a4830a03f05101a33d7baeb1f92c5c8093bc,2406:1840:100:15:6801:abff:fe63:91c4,False,Gen2,7rw6b-6r7qv-al3uk-rimg7-ifkjv-hettz-lhmly-t55g7-xrwac-25ayy-wae,zy4m7-z5mhs-zfkpl-zlsjl-blrbx-mvvmq-5z4zu-mf7eq-hhv7o-ezfro-3ae,Krishna Enterprises,REPLICA,Yotta,"Asia,IN,Panvel",UP,
1274,w4ri3-ytfnq-jg3z3-qseka-se4xe-b2fl2-km766-ruzwd-riw72-6bifs-4ae,,hk1,HongKong 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2401:8a00:f:1:6801:7ff:fe4a:8ae9,False,Gen2,vzsx4-ldpic-3zcoa-mfki2-gfsai-ok7ap-gb2sp-fxvaf-ckd7h-jluem-qqe,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,REPLICA,Unicom,"Asia,HK,HongKong",UP,
1277,w7v5s-nethv-crfsc-zzq5e-gibjz-dmmyp-mrl6e-vkvid-g56eh-iilcm-eqe,,ns1,New South Wales 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2605:6440:6000:5:6801:e7ff:fe28:e906,True,Gen2,h6fpp-nacd4-fwrj6-fkabo-wbmpo-nvyex-csgvq-itqax-lj3rz-vfx5h-iqe,i3cfo-s2tgu-qe5ym-wk7e6-y7ura-pptgu-kevuf-2feh7-z4enq-5hz4s-mqe,Conic Ventures,REPLICA,Latitude.sh,"Oceania,AU,New South Wales",UP,
1279,wazkf-2xehg-y26ek-2uq64-pkrbh-6frmq-4q7lf-5gaya-44q4p-v5r5z-cqe,,jb2,Gauteng 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:e9f0:9804:9:6801:d1ff:feb9:b07e,False,Gen2,3bohy-zygmq-6novb-wm65r-3k3y2-deh42-7emld-zhqo7-xl2oa-iextm-fae,nmdd6-rouxw-55leh-wcbkn-kejit-njvje-p4s6e-v64d3-nlbjb-vipul-mae,Honeycomb Capital (Pty) Ltd,REPLICA,Africa Data Centres,"Africa,ZA,Gauteng",UP,
1283,wdg4t-afemy-nttou-sdh2u-b6lik-2cuxv-frfoy-wjige-z4qy5-wheg6-kae,,gn1,Greater Noida 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2406:1840:2100:1:6801:6fff:fe0e:419a,False,Gen2,slaxf-2q2iy-ikmsy-u2jnq-ev2u2-z2ryl-5w4ri-uf2v3-hxfuc-yrdbx-uae,cp5ib-twnmx-h4dvd-isef2-tu44u-kb2ka-fise5-m4hta-hnxoq-k45mm-hqe,ACCUSET SOLUTIONS,REPLICA,Yotta,"Asia,IN,Greater Noida",UP,
1284,wgigf-asogz-mx7ne-27hly-zynet-2ly45-q5pq4-wtmbb-yidjg-ctidi-7ae,,kr1,Seoul 3,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a0c:b641:b21:1b:6801:61ff:fee2:e371,False,Gen2,iubpe-vrzpt-cdf5f-kkzhq-rgp63-dkbfo-fje7f-6aknf-jekzg-3s7tv-oae,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,UNASSIGNED,KT,"Asia,KR,Seoul",UP,
1289,wjwzb-q3ogf-fi3po-kf6y6-wzuuj-3ac3m-kjvab-fufsm-z2skq-kthkx-xae,,kr2,Seoul 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2606:fb40:201:1001:6801:a4ff:fe31:2baa,False,Gen2,5dwhe-vpbuf-zz5ml-ylu6k-7y2z2-36ywv-5e4wf-advxd-3endk-icvg4-cae,64xe5-tx2s3-4gjmj-pnozr-fejw2-77y5y-rhcjk-glnmx-62brf-qin5q-pqe,Web3game,REPLICA,Gasan,"Asia,KR,Seoul",UP,
1291,wl27x-2kxme-etw5x-2iuy6-qrkna-uxfoc-swvej-o3jh2-xccz4-warv3-cqe,,zh2,Zurich 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a00:fb01:400:200:6801:56ff:fecf:ec9e,False,Gen1,db7fe-oft52-pi5du-za72s-sh5oy-6wmnv-hje7y-i5k2l-txseu-anq6c-rqe,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Everyware,"Europe,CH,Zurich",UP,
1292,wl5yo-5odhe-ag7ij-zuv5c-z2nw4-wabxc-qbmvw-bt3cm-wg7oj-pkkdv-tqe,,nd1,New Delhi 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2401:7500:ff1:20:6801:6eff:feb9:35e0,False,Gen2,ri4lg-drli2-d5zpi-tsseq-soivo-qrydm-cvjwd-dbmgz-al7fj-4al6w-iae,7uioy-xitfw-yqcko-5gpya-3lpsw-dw7zt-dyyyf-wfqif-jvi76-fdbkg-cqe,Marvelous Web3,UNASSIGNED,Marvelous Web3 DC,"Asia,IN,New Delhi",UP,
1295,wnuri-kqarn-qyjem-ae34x-dhkub-ocuug-3xjnj-xydiu-pmpkx-56lnn-3ae,,nd1,New Delhi 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2401:7500:ff1:20:6801:1bff:feec:1765,False,Gen2,ri4lg-drli2-d5zpi-tsseq-soivo-qrydm-cvjwd-dbmgz-al7fj-4al6w-iae,7uioy-xitfw-yqcko-5gpya-3lpsw-dw7zt-dyyyf-wfqif-jvi76-fdbkg-cqe,Marvelous Web3,REPLICA,Marvelous Web3 DC,"Asia,IN,New Delhi",UP,
1305,wr22o-nmso7-rmkqr-vzkv5-eg2cd-kxx3o-jbjnc-e5tjy-ety5p-rz4vf-uqe,,sl1,Seoul 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:ed0:a:101:6801:32ff:fe2a:54c2,False,Gen2,ukji3-ju5bx-ty5r7-qwk4p-eobil-isp26-fsomg-44kwf-j4ew7-ozkqy-wqe,4dibr-2alzr-h6kva-bvwn2-yqgsl-o577t-od46o-v275p-a2zov-tcw4f-eae,Neptune Partners,REPLICA,Megazone Cloud,"Asia,KR,Seoul",UP,
1309,wvxfb-eqeex-26z4r-vefff-llfh7-vv76x-pje4o-oh57m-eklny-zcs56-wae,,sh1,Stockholm 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:4c08:2003:b09:6801:14ff:fe8d:5e38,False,Gen1,lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Digital Realty,"Europe,SE,Stockholm",UP,
1310,wwpob-ttemi-zg5fc-us2jz-3q3gm-mhzmm-higzj-2bqrr-7tmoz-ajy7l-wqe,,jb2,Gauteng 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:e9f0:9804:9:6801:e1ff:fe5b:7267,False,Gen2,3bohy-zygmq-6novb-wm65r-3k3y2-deh42-7emld-zhqo7-xl2oa-iextm-fae,nmdd6-rouxw-55leh-wcbkn-kejit-njvje-p4s6e-v64d3-nlbjb-vipul-mae,Honeycomb Capital (Pty) Ltd,REPLICA,Africa Data Centres,"Africa,ZA,Gauteng",UP,
1317,wzobn-oqy6r-qnhrl-6qvxp-3dizc-5gb2q-tbtnc-ptnfl-vyxkw-g7gxc-4qe,,sh1,Stockholm 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:4c08:2003:b09:6801:3fff:fe39:cb3d,False,Gen1,lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Digital Realty,"Europe,SE,Stockholm",UP,
1326,x6ufc-46e3d-cvse3-vbjz6-gkrnq-4lpvu-6lloe-l24kd-y75gq-3pmt4-tqe,,nd1,New Delhi 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2401:7500:ff1:20:6801:adff:fe6b:9b2e,False,Gen2,ri4lg-drli2-d5zpi-tsseq-soivo-qrydm-cvjwd-dbmgz-al7fj-4al6w-iae,7uioy-xitfw-yqcko-5gpya-3lpsw-dw7zt-dyyyf-wfqif-jvi76-fdbkg-cqe,Marvelous Web3,REPLICA,Marvelous Web3 DC,"Asia,IN,New Delhi",UP,
1327,x766n-gnzao-y5q7i-4truy-tzh26-lt3a7-nobwi-4zjjy-a73af-utbwa-wqe,,se1,Washington 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2600:c00:2:100:6801:49ff:fef6:c39f,False,Gen1,xph6u-z3z2t-s7hh7-gtlxh-bbgbx-aatlm-eab4o-bsank-nqruh-3ub4q-sae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,UNASSIGNED,Evocative,"North America,US,Washington",UP,
1328,xatzx-j3mph-3xzxk-jz53j-afa3d-qxnac-fbejn-hvgpy-cmhlb-dkuhv-nqe,,sl1,Seoul 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:ed0:a:101:6801:9cff:fe93:5b0b,False,Gen2,ukji3-ju5bx-ty5r7-qwk4p-eobil-isp26-fsomg-44kwf-j4ew7-ozkqy-wqe,4dibr-2alzr-h6kva-bvwn2-yqgsl-o577t-od46o-v275p-a2zov-tcw4f-eae,Neptune Partners,REPLICA,Megazone Cloud,"Asia,KR,Seoul",UP,
1329,xav3a-kdo3a-2rgbg-o6vnk-clat5-bcc7w-vmnej-z55rx-mfx26-7xugo-tqe,,jb2,Gauteng 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:e9f0:9804:9:6801:1aff:fe1f:43d7,False,Gen2,bm2lc-ec4xa-briqh-l3acc-wvxfw-u2mn2-3njpp-53rqa-5guxt-hyhce-7ae,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,UNASSIGNED,Africa Data Centres,"Africa,ZA,Gauteng",UP,
1332,xbsjm-f7kbx-wrerv-ponbs-e3kjp-pvt6d-lgjfv-kolpw-c4j3y-to5pe-7qe,,kr1,Seoul 3,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a0c:b641:b21:1b:6801:c2ff:fe29:2998,False,Gen2,iubpe-vrzpt-cdf5f-kkzhq-rgp63-dkbfo-fje7f-6aknf-jekzg-3s7tv-oae,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,REPLICA,KT,"Asia,KR,Seoul",UP,
1336,xetvj-ysqpy-wnnd4-fbytw-n6arq-w7f5e-fhsuo-7xd67-lwpt2-novnx-iae,,tv1,Tel Aviv 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a03:ff40:dcbe:1019:6801:5aff:fe08:b9fe,False,Gen2,lis4o-siuek-6zrm6-g5pkh-lswnt-ttsd4-henvb-d6mit-lgfpr-lynph-xae,6sq7t-knkul-fko6h-xzvnf-ktbvr-jhx7r-hapzr-kjlek-whugy-zt6ip-xqe,GeoNodes LLC,UNASSIGNED,Interhost,"Asia,IL,Tel Aviv",UP,
1337,xexdo-rsh52-bcci4-xrieo-3lazn-mws2u-xv4j2-egawj-gh5ps-t3oww-bae,,hk1,HongKong 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2401:8a00:f:1:6801:1bff:fe81:8610,False,Gen2,vzsx4-ldpic-3zcoa-mfki2-gfsai-ok7ap-gb2sp-fxvaf-ckd7h-jluem-qqe,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,REPLICA,Unicom,"Asia,HK,HongKong",UP,
1340,xhha5-oe4lp-ij2xv-gqhfe-pjavc-lwazu-y2wcm-rsvqw-hpvso-ksn7c-fqe,,mn2,Melbourne 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2403:f000:300:6:6801:caff:fee7:db26,False,Gen2,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,
1342,xj356-s5zzj-23mti-c7mma-ac5mi-2b7ha-wouvr-oguww-qxjfw-ytgqa-vae,,se1,Washington 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2600:c00:2:100:6801:4aff:fe1e:c05c,False,Gen1,xph6u-z3z2t-s7hh7-gtlxh-bbgbx-aatlm-eab4o-bsank-nqruh-3ub4q-sae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,UNASSIGNED,Evocative,"North America,US,Washington",UP,
1352,xqcmz-7xz2n-2ech2-6nuy5-ccy2u-5evmn-vyoer-ropa7-u6zja-vg5k3-sqe,,ma1,Madrid 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a03:c7c1:64:3:6801:2fff:fe0c:559f,False,Gen2,w22jb-r5bxs-5eyh6-yucbf-6aocs-bomyg-x4rix-ewa2i-ccpsi-ugend-7ae,3oqw6-vmpk2-mlwlx-52z5x-e3p7u-fjlcw-yxc34-lf2zq-6ub2f-v63hk-lae,Vladyslav Popov,UNASSIGNED,Ginernet,"Europe,ES,Madrid",UP,
1353,xqhoe-c5pck-wcytx-owvyr-mntbp-u22ct-nvcqi-bri5w-sjow2-rs4gp-sae,,tb1,Tbilisi 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a0a:5000:0:3:6801:b3ff:fe3e:d31c,False,Gen2,yhfy4-ny5ww-huz33-bkxym-eu27d-htlt4-yi77a-hvdqb-wpdlv-2cky7-uae,vegae-c4chr-aetfj-7gzuh-c23sx-u2paz-vmvbn-bcage-pu7lu-mptnn-eqe,George Bassadone,REPLICA,Cloud9,"Asia,GE,Tbilisi",UP,
1355,xs5iy-nxwwp-pf2br-3544d-el6uf-xu2kf-qxqzm-sizvd-vgwfm-iqifv-jae,,mn2,Melbourne 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2403:f000:300:6:6801:54ff:fe38:9d64,False,Gen2,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,
1369,y6xdi-6nbil-4w6ju-4vqux-wdl5m-uofuq-2hbv4-dels3-knu42-xievh-hae,,lj2,Ljubljana 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a03:a100:0:204:6801:71ff:fe0d:d20a,False,Gen2,eu5wc-g7r7l-zzy2o-227af-hfvin-orflw-4vdlf-j7gks-n5wrj-zezt7-tqe,kos24-5xact-6aror-uofg2-tnvt6-dq3bk-c2c5z-jtptt-jbqvc-lmegy-qae,Anonstake,REPLICA,Anonstake,"Europe,SI,Ljubljana",UP,
1371,y7bml-csbq7-euzyf-njmvm-qfftp-iy7lc-wisaq-jlmul-sdo7p-7lkx4-3ae,,pc1,Panama City 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2606:f180:9:1a:6801:a3ff:fe02:4b1b,False,Gen2,qaes5-yo2iq-rhzta-vsh6g-ksq6o-yxtlb-lakue-snalc-ubxec-h3hy6-hae,eatbv-nlydd-n655c-g7j7p-gnmpz-pszdg-6e6et-veobv-ftz2y-4m752-vqe,Bianca-Martina Rohner,UNASSIGNED,Navegalo,"North America,PA,Panama City",UP,
1373,y7vmg-unfmv-u6gdl-piob6-7en2w-zmwjb-oqbpn-ufqkm-4i2cr-osl3d-iae,,zh2,Zurich 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a00:fb01:400:200:6801:77ff:feb8:40a6,False,Gen1,rzskv-pde6u-albub-bojhe-odunj-k3nnf-j2eag-akkjm-o3ydz-z5tcy-vae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Everyware,"Europe,CH,Zurich",UP,
1374,yahq2-6rnmm-n7ubm-q76zd-256dl-5f7k6-jxx5l-njyo2-hl7tk-sqcet-6ae,,ar1,CABA 1,,44e6a4830a03f05101a33d7baeb1f92c5c8093bc,2803:8d00:b000:f738:6801:68ff:fe39:7aa5,False,Gen2,5p6xp-glfoz-fgh6d-4rx7e-hix7t-c4vcp-u2xhn-gv4mm-fkozw-6mntb-7qe,s5nvr-ipdxf-xg6wd-ofacm-7tl4i-nwjzx-uulum-cugwb-kbpsa-wrsgs-cae,Mariano Stoll,REPLICA,SyT - Servicios y Telecomunicaciones S.A.,"South America,AR,CABA",UP,
1377,yf2ct-a2auf-nofdz-acf6v-ugwyb-k5f6j-5sr3y-7h3xi-svcdg-mhpgg-aae,,rg1,Riga 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a00:17c0:c9:2:6801:dbff:fe5b:f854,False,Gen2,jptla-fkfxd-7oesr-6vbp4-6tx22-c7ome-zo3ox-2ylzj-llei6-7xcw3-hqe,4jjya-hlyyc-s766p-fd6gr-d6tvv-vo3ah-j5ptx-i73gw-mwgyd-rw6w2-rae,MB Patrankos šūvis,REPLICA,DEAC,"Europe,LV,Riga",UP,
1381,yi6r6-u4kax-jphcr-jcqr5-t3zpm-gmp3b-2hiew-iinpf-sgjos-eabha-aqe,,ma1,Madrid 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a03:c7c1:64:1:6801:1dff:fe3d:64a2,False,Gen2,qyawb-e3c5d-fnbik-cuhw3-jmf75-iqley-zyryw-szosz-w4yrk-fnmba-hae,ivf2y-crxj4-y6ewo-un35q-a7pum-wqmbw-pkepy-d6uew-bfmff-g5yxe-eae,Ivanov Oleksandr,UNASSIGNED,Ginernet,"Europe,ES,Madrid",UP,
1385,yim23-u5r3y-yffo3-3hrab-vtvok-nw2qw-uzzbf-mvepc-fvnso-hjar4-6ae,,mtl1,Quebec l1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2607:f748:1300:1:6801:2dff:fe10:4ba,False,Gen2,zhlzs-2otly-4u7vw-qkz7m-2m7aw-bhwmv-yylta-7w4zi-yrrpj-g7eoa-2qe,ulyfm-vkxtj-o42dg-e4nam-l4tzf-37wci-ggntw-4ma7y-d267g-ywxi6-iae,Rivram Inc,REPLICA,Leaseweb,"North America,CA,Quebec",UP,
1386,yjbaw-7mgap-u2qrc-ol6db-ncf2z-wgxuy-4337g-2wjw2-6jjcj-wzdgc-5ae,,mn2,Melbourne 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2403:f000:300:6:6801:4ff:fe3d:d23,False,Gen2,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,
